index,gender,car,reality,child_num,income_total,income_type,edu_type,family_type,house_type,DAYS_BIRTH,DAYS_EMPLOYED,FLAG_MOBIL,work_phone,phone,email,occyp_type,family_size,begin_month,credit
0,F,N,N,0,202500,Commercial associate,Higher education,Married,Municipal apartment,-13899,-4709,1,0,0,0,,2,-6,1
1,F,N,Y,1,247500,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,-11380,-1540,1,0,0,1,Laborers,3,-5,1
2,M,Y,Y,0,450000,Working,Higher education,Married,House / apartment,-19087,-4434,1,0,1,0,Managers,2,-22,2
3,F,N,Y,0,202500,Commercial associate,Secondary / secondary special,Married,House / apartment,-15088,-2092,1,0,1,0,Sales staff,2,-37,0
4,F,Y,Y,0,157500,State servant,Higher education,Married,House / apartment,-15037,-2105,1,0,0,0,Managers,2,-26,2
5,F,N,Y,2,270000,Working,Secondary / secondary special,Married,House / apartment,-13413,-4996,1,0,0,1,High skill tech staff,4,-18,1
6,F,N,N,0,315000,Working,Secondary / secondary special,Separated,House / apartment,-17570,-1978,1,0,0,1,Core staff,1,-41,2
7,M,N,Y,0,270000,Commercial associate,Secondary / secondary special,Married,House / apartment,-14896,-5420,1,0,0,1,Drivers,2,-53,0
8,M,Y,Y,1,180000,Commercial associate,Higher education,Married,House / apartment,-15131,-1466,1,0,0,1,,3,-38,2
9,F,N,Y,0,103500,Working,Secondary / secondary special,Married,House / apartment,-15785,-1308,1,0,0,0,Medicine staff,2,-5,2
10,F,N,Y,0,193500,Working,Secondary / secondary special,Separated,House / apartment,-19063,-2213,1,1,1,1,Laborers,1,-40,2
11,M,Y,Y,1,135000,Commercial associate,Higher education,Married,House / apartment,-11759,-91,1,0,0,0,Managers,3,-51,2
12,F,Y,Y,1,157500,Commercial associate,Secondary / secondary special,Married,House / apartment,-11938,-2162,1,0,0,0,Accountants,3,-60,0
13,F,N,N,0,135000,Working,Higher education,Married,House / apartment,-9887,-2474,1,0,1,0,Sales staff,2,-41,2
14,F,N,Y,0,157500,Pensioner,Secondary / secondary special,Single / not married,House / apartment,-22922,365243,1,0,1,0,,1,-41,2
15,M,Y,Y,2,157500,Working,Secondary / secondary special,Married,With parents,-12859,-4056,1,0,1,0,Drivers,4,-60,0
16,M,N,Y,0,180000,Working,Secondary / secondary special,Married,House / apartment,-19408,-4553,1,0,1,0,Laborers,2,-2,1
17,M,N,N,0,270000,Commercial associate,Secondary / secondary special,Civil marriage,With parents,-8853,-984,1,0,0,1,Sales staff,2,-14,2
18,F,N,Y,0,216000,Pensioner,Secondary / secondary special,Married,House / apartment,-23113,365243,1,0,0,0,,2,-37,2
19,F,N,Y,0,180000,Working,Secondary / secondary special,Married,House / apartment,-13727,-6031,1,0,0,0,,2,-7,2
