,m1,m2,m3,m4,m5
0,쌀밥,오징어찌개,쇠불고기,계란찜,청포묵무침
1,쌀밥,김치찌개,가자미튀김,모둠소세지구이,마늘쫑무침
2,카레덮밥,팽이장국,치킨핑거,쫄면야채무침,견과류조림
3,쌀밥,쇠고기무국,주꾸미볶음,부추전,시금치나물
4,쌀밥,떡국,돈육씨앗강정,우엉잡채,청경채무침
5,쌀밥,시래기국,훈제오리구이,도토리묵무침,쌈무
6,쌀밥,꽃게탕,돈육굴소스볶음,옥수수전,유채나물
7,쌀밥,시금치국,닭감자조림,연두부,콩나물무침
8,쌀밥,쇠고기무국,탕수어,오징어숙회무침,취나물
9,쌀밥,냉이된장국,쇠고기장조림,통도라지구이,치커리무침
10,비빔밥,유부장국,고구마치즈구이,해초무침,요구르트
11,쌀밥,대구찌개,마늘간장치킨,새송이버섯볶음,돌나물무침
12,쌀밥,쇠고기느타리국,갈치구이,호박꼬지&고사리&무나물,파래김
13,쌀밥,콩나물국,돈육간장볶음,버섯잡채,꽃상추무침
14,비빔밥,팽이장국,소세지피망볶음,맛탕,귤
15,쌀밥,북어계란국,닭갈비,새싹두부구이,곰피초장
16,쌀밥,수제비국,오징어볶음,계란찜,도라지초무침
17,쌀밥,얼갈이된장국,제육볶음,늙은호박전,치커리생채
18,쌀밥,쇠고기미역국,주꾸미볶음,맛살계란말이,아삭고추무침
19,쌀밥,근대된장국,탕수육,새송이버섯조림,무생채
20,쌀밥,부대찌개,가자미튀김,메추리알조림,열무된장나물
21,쌀밥,콩나물국,닭갈비,모둠묵,톳두부무침
22,쌀밥,차돌박이찌개,고등어김치말이,소세지구이,풋마늘초무침
23,쌀밥,북어국,돈육장조림,홍어무침,시금치나물
24,쌀밥,고추장찌개,닭데리야끼조림,해물파전,취나물
25,쌀밥,배추된장국,수제돈가스,탕평채,쫄면무침
26,쌀밥,어묵국,돈육고추장볶음,모둠양채쌈,콩나물파채무침
27,쌀밥,쑥국,소불고기,골뱅이무침,마늘쫑볶음
28,곤드레밥,콩나물김치국,미니채소떡갈비,두부계란부침,무나물
29,쌀밥,사골우거지국,탕수어,파래김,깻순나물
30,쌀밥,시금치국,훈제오리구이,연근땅콩조림,쌈무
31,쌀밥,꽃게탕,버섯불고기,계란말이,도토리묵무침
32,쌀밥,쇠고기샤브국,코다리강정,두부&김치볶음,유채나물
33,콩나물밥,맑은국,치킨텐더,땅콩조림,실곤약초무침
34,쌀밥,북어계란국,쇠고기장조림,오징어초무침,시래기나물
35,쌀밥,닭개장,자반고등어구이,비엔나볶음,열무나물
36,쌀밥,얼갈이된장국,닭갈비,해파리냉채,취나물
37,쌀밥,옹심이만두국,주꾸미볶음,새송이버섯전,치커리유자청생채
38,비빔밥,쪽파국,오징어튀김,알감자버터구이,오렌지
39,쌀밥,매운콩나물국,돈육굴소스볶음,동태전,봄동나물
40,쌀밥,버섯들깨탕,갈치조림,우엉잡채,아삭고추무침
41,쌀밥,순두부찌개,쇠불고기,브로컬리맛살볶음,풋마늘초무침
42,쌀밥,북어국,오징어볶음,모둠소시지구이,시금치나물
43,쌀밥,올갱이아욱국,제육볶음,두부조림,모둠쌈
44,쌀밥,어묵국,매운돼지갈비찜,해물파전,무생채
45,쌀밥,배추된장국,순살양념치킨,메추리알조림,콩나물무침
46,쌀밥,시래기국,훈제오리구이,무쌈,풋마늘초무침
47,쌀밥,부대찌개,쇠고기단호박조림,열무나물,시금치나물
48,쌀밥,수제비국,돈육굴소스볶음,양배추,무생채
49,쌀밥,냉이된장찌개,닭데리야끼조림,도라지초무침,콩나물무침
50,쌀밥,배추된장국,돈육강정,콩나물잡채,브로컬리두부무침
51,쌀밥,육개장,꽁치한마리구이,고기전,해초무침
52,콩나물밥,근대된장국,매콤떡갈비조림,청포묵무침,부추생채
53,쌀밥,대구매운탕,쇠고기볶음,옥수수전,청경채생채
54,쌀밥,북어국,등갈비김치찜,연근조림,깻잎양념지
55,쌀밥,콩나물국,돈간장불고기,김치전,버섯볶음
56,쌀밥,쇠고기무국,주꾸미볶음,치즈계란말이,풋마늘대무침
57,비빔밥,미소장국,궁중떡찜,알감자버터구이,유기농식혜
58,쌀밥,미역국,양념파닭,동그랑땡부침,콩자반
59,쌀밥,돈육김치찌개,미트볼조림,고등어카레구이,치커리사과무침
60,쌀밥,시금치국,닭갈비,맛살겨자채,비름나물
61,곤드레밥,무채국,모둠장조림,온두부,실곤약초무침
62,쌀밥,쇠고기샤브국,오징어볶음,동태전,무생채
63,쌀밥,매운어묵국,훈제오리구이,무쌈,도토리묵무침
64,쌀밥,콩나물국,버섯불고기,오징어초무침,시금치나물
65,영양밥,시래기된장국,돈육칠리강정,멸치크랜베리볶음,가지나물
66,쌀밥,오징어국,찜닭,꽃맛살볶음,통도라지구이
67,쌀밥,된장찌개,매운돼지갈비찜,해물파전,치커리유자생채
68,쌀밥,감자고추장찌개,돈육굴소스볶음,계란찜,꽃상추무침
69,쌀밥,들깨버섯탕,고등어김치말이,고기전,비름나물
70,비빔밥,미소장국,치킨핑거,연근땅콩조림,요플레
71,쌀밥,열무된장국,미니채소떡갈비,골뱅이무침,숙주나물
72,쌀밥,순두부찌개,닭오븐구이,새송이버섯전,불미나리무침
73,쌀밥,북어콩나물국,쇠고기불고기,옥수수전,오이무침
74,쌀밥,한방갈비탕,꼬지삼색전,오징어숙회무침,치커리생채
75,볶음밥,미역장국,탕수어,우엉조림,매실주스
76,쌀밥,쇠고기해장국,갈치구이,비엔나감자볶음,무생채
77,쌀밥,배추된장국,닭양념조림,동그랑땡전,고구마순나물
78,쌀밥,콩나물김치국,누룽지탕수육,명태조림,오이도라지생채
79,쌀밥,근대된장국,닭갈비,잡채,깻잎양념지
80,비빔밥,강된장찌개,오징어튀김,궁중떡볶이,음료
81,쌀밥,오이미역냉국,모둠장조림,두부구이,실곤약초무침
82,쌀밥,차돌박이찌개,찜닭,김치전,머위대나물
83,쌀밥,북어계란국,돈육굴소스볶음,홍어채무침,가지나물
84,쌀밥,참치김치찌개,순살깐풍기,맛살콩나물냉채,브로컬리초장
85,쌀밥,매운콩나물국,돼지갈비찜,부추전,비름나물
86,쌀밥,된장찌개,오징어볶음,모둠소시지구이,치커리사과무침
87,쌀밥,북어콩나물국,제육볶음,참치야채전,모둠쌈
88,쌀밥,배추된장국,닭양념조림,탕평채,어묵볶음
89,카레덮밥,맑은국,떡갈비조림,쫄면무침,열무된장나물
90,쌀밥,부대찌개,가자미양념찜,고기전,해초무침
91,쌀밥,꽃게탕,돈육강정,버섯잡채,김구이
92,쌀밥,어묵국,레몬탕수육,명태엿장조림,시금치나물
93,쌀밥,대구찌개,간장치킨,마늘쫑볶음,오이무침
94,쌀밥,시래기국,돈삼겹보쌈,새송이버섯전,콩나물파채무침
95,쌀밥,쇠고기무국,매콤낙지볶음,메추리알조림,숙주나물
96,쌀밥,도토리묵냉국,목살데리야끼구이,골뱅이무침&소면,간장깻잎지
97,쌀밥,배추된장국,훈제오리구이,실곤약초무침,쌈무
98,쌀밥,육개장,고등어구이,닭가슴살냉채,마늘쫑무침
99,쌀밥,콩나물국,간장돼지갈비찜,계란말이,상추겉절이
100,쌀밥,버섯들깨찌개,닭오븐구이,김치전,치커리사과무침
101,쌀밥,수제비국,유자청제육볶음,두부새싹구이,양배추
102,쌀밥,감자고추장찌개,버섯불고기,맛살겨자초무침,노각무침
103,쌀밥,쇠고기미역국,꽁치김치말이찜,모둠소세지구이,비름나물
104,곤드레밥,가쯔오장국,닭강정,해물파전,통도라지구이
105,쌀밥,된장찌개,갈치조림,돈육잡채,오이생채
106,쌀밥,우무묵냉국,갈릭돈까스,감자볶음,영양부추
107,쌀밥,호박잎찌개,돈육굴소스볶음,홍어채무침,모듬쌈
108,쌀밥,건새우아욱국,순살파닭,꽃맛살볶음,도라지나물
