일자|시간|구분,공급량
2019-01-01 01 A,2108.0696760156643
2019-01-01 02 A,1888.2699232768666
2019-01-01 03 A,1817.0659203116436
2019-01-01 04 A,1836.9896527425833
2019-01-01 05 A,1970.4880974606344
2019-01-01 06 A,2163.3675636289345
2019-01-01 07 A,2458.316970271212
2019-01-01 08 A,2837.7959617884867
2019-01-01 09 A,2848.6729122618285
2019-01-01 10 A,2794.3710082216694
2019-01-01 11 A,2733.1334855723608
2019-01-01 12 A,2511.3862525818163
2019-01-01 13 A,2348.084304185637
2019-01-01 14 A,2254.7155945569984
2019-01-01 15 A,2123.297419248698
2019-01-01 16 A,2109.1571127699044
2019-01-01 17 A,2142.233994992644
2019-01-01 18 A,2364.1785119857223
2019-01-01 19 A,2672.198348551999
2019-01-01 20 A,2747.7770846065546
2019-01-01 21 A,2731.794807108407
2019-01-01 22 A,2689.9778410008103
2019-01-01 23 A,2562.155715222777
2019-01-01 24 A,2434.9130317256327
2019-01-02 01 A,2002.9665712950257
2019-01-02 02 A,1775.6112517772087
2019-01-02 03 A,1699.2349807188807
2019-01-02 04 A,1719.1587131498204
2019-01-02 05 A,1946.0199437188276
2019-01-02 06 A,2138.8994098871294
2019-01-02 07 A,2438.4189647267995
2019-01-02 08 A,2908.1846477088707
2019-01-02 09 A,2928.3227405714724
2019-01-02 10 A,2828.770645891535
2019-01-02 11 A,2728.156009639316
2019-01-02 12 A,2454.289035989695
2019-01-02 13 A,2281.9638841990272
2019-01-02 14 A,2188.5951745703887
2019-01-02 15 A,2066.8383576478363
2019-01-02 16 A,2052.6980511690426
2019-01-02 17 A,2085.7749333917823
2019-01-02 18 A,2307.7194503848605
2019-01-02 19 A,2615.7392869511373
2019-01-02 20 A,2691.318023005693
2019-01-02 21 A,2675.335745507545
2019-01-02 22 A,2638.3722162245845
2019-01-02 23 A,2510.550090446551
2019-01-02 24 A,2383.307406949407
2019-01-03 01 A,2296.5858432805044
2019-01-03 02 A,2069.230523762686
2019-01-03 03 A,1992.854252704359
