iter	RMSE
0	5.70441939
1	5.661646382
2	5.623300224
3	5.590983763
4	5.559929032
5	5.532078852
6	5.507277514
7	5.484654947
8	5.46449918
9	5.44647236
10	5.430432518
11	5.415856292
12	5.402945687
13	5.398375697
14	5.386926743
15	5.383001755
16	5.372903545
17	5.369056305
18	5.363314327
19	5.359895296
20	5.350632732
21	5.34235977
22	5.334448396
23	5.331346799
24	5.328197847
25	5.321532532
26	5.318928898
27	5.315735308
28	5.313413254
29	5.311166558
30	5.308738894
31	5.305781042
32	5.303741302
33	5.301261741
34	5.299174033
35	5.296973468
36	5.295029556
37	5.29329044
38	5.291910498
39	5.290206916
40	5.288756713
41	5.287212657
42	5.285980636
43	5.284609245
44	5.283177977
45	5.282122164
46	5.277241796
47	5.272878252
48	5.271953101
49	5.270797952
50	5.269596203
51	5.268684131
52	5.266981832
53	5.266190374
54	5.264703814
55	5.263586882
56	5.261424387
57	5.260053365
58	5.259078876
59	5.258350464
60	5.25763868
61	5.25680648
62	5.255618647
63	5.254662776
64	5.253784378
65	5.252565839
66	5.251390143
67	5.250782062
68	5.249331685
69	5.248058975
70	5.24750827
71	5.246429864
72	5.245796301
73	5.244403774
74	5.243565262
75	5.242343859
76	5.24124498
77	5.240697873
78	5.239374874
79	5.238260224
80	5.237313627
81	5.236818192
82	5.236038343
83	5.235643571
84	5.234542421
85	5.233253157
86	5.232822383
87	5.232280454
88	5.231786073
89	5.231107858
90	5.230272237
91	5.229663785
92	5.22577535
93	5.224577037
94	5.223541737
95	5.222193122
96	5.221353893
97	5.220981663
98	5.217624083
99	5.216422378
100	5.215675377
101	5.214917619
102	5.213789389
103	5.213015718
104	5.211876723
105	5.211272415
106	5.210345547
107	5.20967901
108	5.209314428
109	5.208941207
110	5.207959507
111	5.207373521
112	5.203970929
113	5.203384994
114	5.202523907
115	5.202187036
116	5.199468698
117	5.19885118
118	5.198543441
119	5.197570989
120	5.197057416
121	5.196050263
122	5.1957151
123	5.195192146
124	5.194431193
125	5.193752915
126	5.193503137
127	5.192577792
128	5.191652269
129	5.191331423
130	5.1904494
131	5.189846883
132	5.189296759
133	5.188816709
134	5.187590266
135	5.18729048
136	5.186757386
137	5.185903319
138	5.185246109
139	5.184527476
140	5.183934826
141	5.183472419
142	5.183192143
143	5.182911774
144	5.182669841
145	5.179608885
146	5.179370078
147	5.178848838
148	5.178357019
149	5.178121528
150	5.177244001
151	5.176481726
152	5.175960964
153	5.175156006
154	5.174725198
155	5.172502651
156	5.171719379
157	5.171254604
158	5.170776285
159	5.169488272
160	5.16683792
161	5.166507411
162	5.164513072
163	5.16397829
164	5.163273628
165	5.162748807
166	5.162147127
167	5.161906327
168	5.159914222
169	5.158090246
170	5.157593001
171	5.157009648
172	5.155310309
173	5.154108913
174	5.153771536
175	5.15289457
176	5.152692265
177	5.152400072
178	5.151961134
179	5.151330644
180	5.150893585
181	5.150371022
182	5.148909766
183	5.147939679
184	5.146227103
185	5.145298437
186	5.145069737
187	5.143551698
188	5.142115603
189	5.141930856
190	5.141389979
191	5.140552028
192	5.138841072
193	5.1382034
194	5.136648918
195	5.136435807
196	5.136008722
197	5.135096543
198	5.134549962
199	5.132930718
200	5.13145347
201	5.131273633
202	5.129865113
203	5.12886445
204	5.128213833
205	5.128046552
206	5.126826456
207	5.126382599
208	5.126197417
209	5.125673542
210	5.124343948
211	5.123293217
212	5.122056824
213	5.120696872
214	5.120249989
215	5.119217623
216	5.118106781
217	5.117705133
218	5.11703539
219	5.116839751
220	5.11594742
221	5.114509419
222	5.113480117
223	5.113100375
224	5.112517701
225	5.111089176
226	5.110582857
227	5.109659588
228	5.109511552
229	5.108523892
230	5.107540422
231	5.10735388
232	5.106561812
233	5.10573443
234	5.105282017
235	5.105115234
236	5.104203027
237	5.103460584
238	5.102673809
239	5.102199545
240	5.10170469
241	5.100656306
242	5.100510882
243	5.100027712
244	5.099305809
245	5.098104352
246	5.096949397
247	5.096607367
248	5.095731795
249	5.094968245
250	5.094299124
251	5.094165978
252	5.093386438
253	5.092992913
254	5.092183698
255	5.09207306
256	5.09126659
257	5.090937474
258	5.090664087
259	5.090008606
260	5.089382767
261	5.088803707
262	5.087656301
263	5.086998345
264	5.08630767
265	5.086107986
266	5.085903158
267	5.085003089
268	5.084864402
269	5.08449095
270	5.083950327
271	5.083245753
272	5.082271224
273	5.081555842
274	5.081461385
275	5.080957452
276	5.080680701
277	5.080092883
278	5.07969081
279	5.079212572
280	5.078172105
281	5.077803562
282	5.077367589
283	5.076846266
284	5.076618585
285	5.076070999
286	5.075823755
287	5.075148742
288	5.07502921
289	5.074532852
290	5.074275188
291	5.074174591
292	5.073452759
293	5.073332613
294	5.072920304
295	5.071931443
296	5.071255971
297	5.07082613
298	5.069938143
299	5.069543495
300	5.069252776
301	5.068610924
302	5.068509044
303	5.067716912
304	5.067440092
305	5.067198524
306	5.06676971
307	5.066539383
308	5.06559636
309	5.06479211
310	5.063975446
311	5.063278157
312	5.062898234
313	5.062441331
314	5.062107381
315	5.061516693
316	5.061437137
317	5.060785882
318	5.060286478
319	5.060112921
320	5.059664217
321	5.059089109
322	5.058667315
323	5.057893871
324	5.057268482
325	5.057127618
326	5.056747054
327	5.056382959
328	5.055939243
329	5.055328426
330	5.054661451
331	5.054129947
332	5.05357751
333	5.053222046
334	5.053073484
335	5.052679909
336	5.052018655
337	5.051587682
338	5.051236761
339	5.05104419
340	5.050214706
341	5.049928198
342	5.04931392
343	5.04898361
344	5.048672846
345	5.048449617
346	5.047874945
347	5.047676948
348	5.047327048
349	5.047231011
350	5.0468262
351	5.046752393
352	5.046207527
353	5.045911099
354	5.045748415
355	5.045091454
356	5.044732411
357	5.044587272
358	5.043941682
359	5.04359579
360	5.042973658
361	5.042802816
362	5.042627582
363	5.042135468
364	5.041752187
365	5.041433409
366	5.04076752
367	5.04040422
368	5.039829744
369	5.039708681
370	5.039094071
371	5.038497825
372	5.037963435
373	5.037788066
374	5.037266898
375	5.036746055
376	5.036246033
377	5.036069041
378	5.035556803
379	5.035261157
380	5.03472646
381	5.034663082
382	5.034452163
383	5.034210191
384	5.033896017
385	5.033334243
386	5.03269384
387	5.032161208
388	5.031982775
389	5.031501979
390	5.031355864
391	5.031196595
392	5.030725776
393	5.030589391
394	5.030173424
395	5.029854527
396	5.02949643
397	5.029347596
398	5.029054266
399	5.028819578
400	5.028677885
401	5.02815519
402	5.02802202
403	5.027716975
404	5.027417773
405	5.027161224
406	5.0269273
407	5.026591399
408	5.026145673
409	5.025643142
410	5.025460547
411	5.025351142
412	5.025163374
413	5.02494418
414	5.024627704
415	5.024539131
416	5.024211031
417	5.023999038
418	5.023734988
419	5.02328292
420	5.023014178
421	5.022612401
422	5.022388284
423	5.021845251
424	5.021350838
425	5.021074403
426	5.020591155
427	5.020456837
428	5.020304906
429	5.019993986
430	5.019653877
431	5.019352124
432	5.018926722
433	5.018662142
434	5.018295597
435	5.018207884
436	5.017947135
437	5.017814356
438	5.017522811
439	5.017205474
440	5.017150105
441	5.016938644
442	5.01651313
443	5.016296295
444	5.015891131
445	5.015440442
446	5.015387482
447	5.015083404
448	5.014971719
449	5.014573324
450	5.014467859
451	5.014162157
452	5.014048574
453	5.013850822
454	5.013615718
455	5.013112973
456	5.012910866
457	5.012662958
458	5.012313652
459	5.011894149
460	5.011704784
461	5.011540274
462	5.011252638
463	5.010929791
464	5.010453934
465	5.010105592
466	5.009891578
467	5.00967159
468	5.009277953
469	5.008814146
470	5.008731875
471	5.008590948
472	5.008492492
473	5.007975839
474	5.007693113
475	5.007584733
476	5.007331152
477	5.007024313
478	5.006748045
479	5.006454515
480	5.006354015
481	5.005993185
482	5.005375997
483	5.005229937
484	5.005063907
485	5.004862666
486	5.004601107
487	5.00415632
488	5.003983646
489	5.003783226
490	5.00336685
491	5.002961788
492	5.002887087
493	5.002558651
494	5.00229298
495	5.001887185
496	5.001796261
497	5.001460107
498	5.001204526
499	5.000761663
500	5.000438102
501	5.000102326
502	4.999804456
503	4.999149748
504	4.998920013
505	4.99865335
506	4.998549798
507	4.998273113
508	4.997892587
509	4.997730321
510	4.997162115
511	4.996910501
512	4.996844614
513	4.996554403
514	4.996363457
515	4.996264781
516	4.995977037
517	4.995825022
518	4.995628107
519	4.995184976
520	4.994980351
521	4.994598286
522	4.99430592
523	4.993848921
524	4.993545112
525	4.993121466
526	4.99306219
527	4.992870733
528	4.992801544
529	4.992647672
530	4.992224818
531	4.992073973
532	4.991748054
533	4.991561394
534	4.991297733
535	4.991162347
536	4.990473767
537	4.990135976
538	4.989960821
539	4.989827879
540	4.989510157
541	4.989327343
542	4.989231835
543	4.989056137
544	4.988859652
545	4.988346883
546	4.987571447
547	4.986587291
548	4.986311643
549	4.986183129
550	4.986076864
551	4.98586478
552	4.985131916
553	4.984960904
554	4.984777211
555	4.984565648
556	4.984386466
557	4.984086459
558	4.984011808
559	4.983927053
560	4.9838188
561	4.983473647
562	4.983210037
563	4.982814224
564	4.982343312
565	4.982059723
566	4.981808481
567	4.981300978
568	4.980938454
569	4.980852034
570	4.980577291
571	4.980424433
572	4.980350791
573	4.980156943
574	4.979932833
575	4.979817947
576	4.979509485
577	4.979276861
578	4.979126298
579	4.97905054
580	4.978233438
581	4.978054508
582	4.977619378
583	4.977444802
584	4.977318932
585	4.976863125
586	4.976751194
587	4.97660641
588	4.976249022
589	4.976026623
590	4.975793483
591	4.975275269
592	4.97503291
593	4.974763807
594	4.974705342
595	4.974480455
596	4.974232735
597	4.973988262
598	4.973544855
599	4.973270928
600	4.97286056
601	4.9724735
602	4.972258948
603	4.971806295
604	4.971594735
605	4.971430579
606	4.971387718
607	4.971140749
608	4.970921965
609	4.970395553
610	4.970024085
611	4.969763264
612	4.969617824
613	4.969311867
614	4.969206735
615	4.969050483
616	4.968957911
617	4.968838546
618	4.968556268
619	4.968300882
620	4.968078497
621	4.967979245
622	4.967736922
623	4.967581118
624	4.967301218
625	4.966795233
626	4.966690028
627	4.966489955
628	4.966299748
629	4.96618023
630	4.965917856
631	4.965726854
632	4.965599661
633	4.96553816
634	4.96508812
635	4.964705082
636	4.964516627
637	4.964220829
638	4.964118925
639	4.963783782
640	4.9634082
641	4.963353282
642	4.962666204
643	4.962403334
644	4.962189734
645	4.962006822
646	4.961822084
647	4.961594412
648	4.96090192
649	4.960623349
650	4.960583337
651	4.960364865
652	4.960086351
653	4.959865202
654	4.959586183
655	4.959366129
656	4.959129745
657	4.958879982
658	4.958721508
659	4.958497208
660	4.958226412
661	4.958150093
662	4.957801843
663	4.957559233
664	4.957503709
665	4.957358784
666	4.957152081
667	4.957045517
668	4.956879534
669	4.956721567
670	4.956450111
671	4.9563894
672	4.956060055
673	4.955457804
674	4.955135557
675	4.954947804
676	4.954798099
677	4.954555239
678	4.954125329
679	4.954003423
680	4.95372847
681	4.953418432
682	4.95316514
683	4.952521526
684	4.952455685
685	4.952258919
686	4.952163113
687	4.951852393
688	4.951790251
689	4.951685081
690	4.951570578
691	4.951436044
692	4.951218178
693	4.950777077
694	4.950366982
695	4.950297281
696	4.950154692
697	4.950077309
698	4.94988953
699	4.949718131
700	4.94956894
701	4.949337096
702	4.949151134
703	4.948936604
704	4.948677923
705	4.948378375
706	4.948207025
707	4.948085323
708	4.947790323
709	4.947600169
710	4.947363633
711	4.947297229
712	4.94710217
713	4.946872577
714	4.946755212
715	4.946561976
716	4.946356432
717	4.946179906
718	4.94608558
719	4.946053296
720	4.945992983
721	4.945937839
722	4.945729619
723	4.945470976
724	4.945233167
725	4.945042078
726	4.944606997
727	4.944421068
728	4.944227338
729	4.944066568
730	4.943911065
731	4.943854673
732	4.943624531
733	4.943432909
734	4.943137587
735	4.943049459
736	4.942999866
737	4.942831959
738	4.942704638
739	4.942635226
740	4.942337363
741	4.942209938
742	4.942066616
743	4.942020749
744	4.941955189
745	4.941889533
746	4.941702689
747	4.941355429
748	4.941265577
749	4.941111604
750	4.941077419
751	4.940931297
752	4.940771473
753	4.940706362
754	4.940589682
755	4.940310492
756	4.940151472
757	4.940016348
758	4.939794846
759	4.939623725
760	4.939563042
761	4.939327445
762	4.93914686
763	4.939064742
764	4.938877671
765	4.938756446
766	4.938348744
767	4.937866633
768	4.937774905
769	4.937564338
770	4.937393522
771	4.937203384
772	4.937065398
773	4.936669811
774	4.93627492
775	4.936145851
776	4.935887875
777	4.935617804
778	4.935477536
779	4.935122756
780	4.934890363
781	4.934669409
782	4.93452904
783	4.934365228
784	4.934249665
785	4.934072564
786	4.933897168
787	4.933702315
788	4.933544338
789	4.933047092
790	4.932989648
791	4.932682459
792	4.932513833
793	4.932206889
794	4.932058785
795	4.931957197
796	4.931903074
797	4.931608292
798	4.931435745
799	4.931392264
800	4.931268337
801	4.93112797
802	4.930832722
803	4.930737033
804	4.930599274
805	4.930389373
806	4.930256739
807	4.930219428
808	4.930063986
809	4.929726671
810	4.929682595
811	4.929613778
812	4.929514467
813	4.929327843
814	4.928987609
815	4.928779793
816	4.928574703
817	4.928496848
818	4.928459872
819	4.928317125
820	4.92817697
821	4.928088828
822	4.927907082
823	4.927792458
824	4.927710136
825	4.927518975
826	4.927401542
827	4.927223901
828	4.927108514
829	4.926940916
830	4.926768029
831	4.926648073
832	4.926494132
833	4.926356888
834	4.926324717
835	4.926163791
836	4.925906004
837	4.925784852
838	4.925735609
839	4.925674143
840	4.925434212
841	4.924860331
842	4.924708977
843	4.924603616
844	4.924556824
845	4.924329621
846	4.924239829
847	4.924085072
848	4.923884631
849	4.923748518
850	4.923620801
851	4.923499126
852	4.923291425
853	4.92304114
854	4.922933981
855	4.922770847
856	4.922640816
857	4.922594978
858	4.92240811
859	4.922274948
860	4.922026541
861	4.921833622
862	4.921649121
863	4.92156007
864	4.921432997
865	4.921393315
866	4.921354497
867	4.921180892
868	4.920987514
869	4.920740436
870	4.920690309
871	4.920584684
872	4.920462259
873	4.920224478
874	4.920192053
875	4.920059707
876	4.919952889
877	4.919820304
878	4.919572722
879	4.919345488
880	4.919202144
881	4.919096222
882	4.918902147
883	4.918789232
884	4.918663851
885	4.918544667
886	4.918383152
887	4.918190581
888	4.918025979
889	4.917821353
890	4.917772265
891	4.917725511
892	4.917673876
893	4.917534768
894	4.917384562
895	4.917182807
896	4.916980224
897	4.916826474
898	4.916780369
899	4.916726878
900	4.91659734
901	4.916504435
902	4.916319516
903	4.915893612
904	4.915849502
905	4.915769605
906	4.915700539
907	4.915334666
908	4.915315177
909	4.915278884
910	4.915201855
911	4.915065514
912	4.914937399
913	4.914775445
914	4.914575315
