iter	Passed	Remaining
0	7	7943
1	14	7305
2	22	7472
3	30	7652
4	46	9238
5	55	9222
6	61	8680
7	69	8583
8	75	8261
9	83	8279
10	91	8208
11	99	8157
12	105	8007
13	114	8078
14	121	8000
15	129	7989
16	138	7994
17	146	7966
18	156	8066
19	166	8170
20	177	8288
21	184	8206
22	196	8342
23	205	8338
24	217	8485
25	226	8502
26	235	8504
27	244	8472
28	249	8358
29	262	8481
30	274	8567
31	283	8564
32	295	8658
33	303	8620
34	315	8696
35	328	8785
36	339	8830
37	349	8848
38	360	8894
39	376	9045
40	394	9237
41	404	9236
42	417	9296
43	427	9287
44	438	9304
45	449	9313
46	457	9271
47	467	9273
48	477	9263
49	490	9313
50	500	9314
51	507	9253
52	519	9278
53	531	9307
54	537	9242
55	553	9322
56	566	9375
57	576	9369
58	584	9315
59	591	9264
60	597	9193
61	606	9168
62	612	9110
63	621	9083
64	629	9052
65	637	9024
66	643	8965
67	658	9026
68	667	9002
69	675	8976
70	685	8975
71	693	8943
72	709	9008
73	721	9026
74	736	9081
75	750	9126
76	759	9101
77	766	9065
78	777	9066
79	785	9038
80	792	8995
81	801	8973
82	812	8979
83	820	8942
84	828	8918
85	837	8896
86	844	8861
87	852	8831
88	862	8826
89	870	8805
90	881	8807
91	889	8780
92	898	8765
93	912	8790
94	919	8763
95	933	8793
96	945	8802
97	959	8832
98	968	8814
99	975	8780
100	983	8751
101	994	8756
102	1004	8749
103	1010	8705
104	1016	8662
105	1025	8648
106	1035	8641
107	1041	8604
108	1052	8604
109	1062	8596
110	1071	8585
111	1080	8568
112	1088	8545
113	1101	8561
114	1107	8523
115	1117	8515
116	1123	8478
117	1132	8462
118	1137	8424
119	1146	8409
120	1156	8400
121	1170	8424
122	1183	8438
123	1196	8454
124	1206	8444
125	1218	8449
126	1223	8412
127	1231	8387
128	1238	8359
129	1245	8335
130	1253	8317
131	1265	8318
132	1278	8335
133	1290	8339
134	1298	8317
135	1306	8299
136	1316	8294
137	1341	8380
138	1356	8401
139	1378	8465
140	1391	8477
141	1408	8511
142	1424	8535
143	1437	8545
144	1451	8558
145	1472	8610
146	1488	8640
147	1502	8651
148	1517	8665
149	1533	8688
150	1549	8709
151	1563	8721
152	1574	8715
153	1591	8742
154	1611	8784
155	1623	8782
156	1640	8810
157	1652	8806
158	1664	8806
159	1692	8885
160	1704	8881
161	1734	8970
162	1748	8977
163	1774	9043
164	1785	9036
165	1804	9065
166	1817	9066
167	1833	9080
168	1844	9070
169	1856	9062
170	1871	9074
171	1883	9067
172	1900	9082
173	1919	9112
174	1937	9132
175	1948	9123
176	1960	9114
177	1977	9133
178	1992	9137
179	2018	9193
180	2034	9206
181	2058	9252
182	2069	9238
183	2085	9246
184	2114	9316
185	2128	9316
186	2140	9307
187	2153	9300
188	2165	9291
189	2184	9314
190	2196	9305
191	2222	9351
192	2234	9341
193	2256	9373
194	2271	9377
195	2284	9369
196	2297	9363
197	2309	9352
198	2323	9351
199	2338	9352
200	2353	9355
201	2364	9340
202	2380	9345
203	2398	9358
204	2411	9350
205	2422	9337
206	2443	9359
207	2463	9381
208	2476	9371
209	2493	9379
210	2508	9381
211	2520	9368
212	2537	9376
213	2551	9372
214	2565	9366
215	2576	9350
216	2588	9340
217	2620	9401
218	2634	9395
219	2657	9421
220	2668	9406
221	2681	9396
222	2696	9395
223	2710	9391
224	2724	9383
225	2744	9397
226	2769	9431
227	2782	9419
228	2793	9406
229	2814	9422
230	2826	9408
231	2836	9389
232	2862	9422
233	2874	9408
234	2885	9392
235	2903	9400
236	2914	9382
237	2934	9396
238	2956	9412
239	2972	9414
240	2985	9403
241	2998	9391
242	3010	9377
243	3022	9365
244	3034	9351
245	3054	9361
246	3070	9361
247	3089	9367
248	3101	9355
249	3113	9340
250	3122	9318
251	3131	9294
252	3143	9280
253	3153	9261
254	3167	9254
255	3179	9240
256	3192	9230
257	3208	9228
258	3219	9210
