index,SEND_SPG_INNB,REC_SPG_INNB,DL_GD_LCLS_NM,DL_GD_MCLS_NM,INVC_CONT
0,1129000014045300,5011000220046300,패션의류,상의,3
1,1135000009051200,5011000178037300,생활/건강,반려동물,3
2,1135000030093100,5011000265091400,패션의류,기타패션의류,9
3,1154500002014200,5011000315087400,식품,농산물,10
4,1165000021008300,5011000177051200,식품,가공식품,3
5,1168000013091300,5011000431068400,화장품/미용,스킨케어,5
6,1171000019003100,5011000439051200,식품,농산물,5
7,2623000012072300,5011000683013300,패션의류,기타패션의류,5
8,2626000011052400,5011000374047100,식품,가공식품,3
9,2726000034007300,5011000378006100,식품,기타식품,3
10,2729000029060300,5011000113021100,생활/건강,생활용품,3
11,2811000069044300,5011000373052200,식품,건강식품,5
12,2820000053057300,5011000264072200,생활/건강,주방용품,5
13,2914000013007300,5011000543088200,식품,가공식품,3
14,3023000012008100,5011000214066100,생활/건강,건강용품,3
15,3023000012008100,5011000390009100,식품,냉동/간편조리식품,3
16,3023000012008100,5013000809059200,식품,냉동/간편조리식품,4
17,4111300037051300,5011000218024300,생활/건강,건강용품,7
18,4119900009063300,5011000368037100,식품,건강식품,3
19,4119900009063300,5011000372049400,식품,건강식품,4
20,4119900009063300,5013000635005300,식품,건강식품,3
21,4121000015010300,5011000309098300,생활/건강,문구/사무용품,3
22,4121000015010300,5011000319047100,생활/건강,문구/사무용품,4
23,4122000151090400,5011000372043400,식품,축산,4
24,4127300065073100,5013000817089300,패션의류,상의,5
25,4128500028049400,5011000314095300,생활/건강,주방용품,10
26,4136000185087300,5011000375005300,식품,기타식품,3
27,4136000216029100,5011000093047100,식품,농산물,3
28,4136000216029100,5011000266069100,생활/건강,반려동물,3
29,4136000216029100,5011000481001200,생활/건강,반려동물,3
30,4136000216029100,5011000532018400,생활/건강,반려동물,3
31,4141000031009400,5011000315087400,식품,가공식품,17
32,4141000031030100,5011000173088400,생활/건강,건강용품,42
33,4141000031030100,5011000538023200,식품,가공식품,31
34,4141000031030100,5011000544072300,화장품/미용,스킨케어,5
35,4146100146003300,5011000319051100,생활/건강,문구/사무용품,10
36,4146100353012300,5013000813011400,식품,냉동/간편조리식품,4
