submit_id,hold_d
IDX00001,154
IDX00002,336
IDX00003,140
IDX00004,237
IDX00005,10
IDX00006,94
IDX00007,101
IDX00008,721
IDX00009,82
IDX00010,511
IDX00011,122
IDX00012,1228
IDX00013,468
IDX00014,7
IDX00015,12
IDX00016,4
IDX00017,113
IDX00018,71
IDX00019,281
IDX00020,9
IDX00021,7
IDX00022,1228
IDX00023,420
IDX00024,17
IDX00025,3
IDX00026,68
IDX00027,68
IDX00028,237
IDX00029,467
IDX00030,281
IDX00031,70
IDX00032,70
IDX00033,857
IDX00034,132
IDX00035,13
IDX00036,78
IDX00037,132
IDX00038,1228
IDX00039,132
IDX00040,1055
IDX00041,1228
IDX00042,436
IDX00043,1133
IDX00044,1228
IDX00045,1097
IDX00046,608
IDX00047,1083
IDX00048,1228
IDX00049,1228
IDX00050,1228
IDX00051,1228
IDX00052,1097
IDX00053,141
IDX00054,647
IDX00055,670
IDX00056,146
IDX00057,132
IDX00058,630
IDX00059,631
IDX00060,723
IDX00061,75
IDX00062,675
IDX00063,659
IDX00064,740
IDX00065,573
IDX00066,668
IDX00067,663
IDX00068,74
IDX00069,122
IDX00070,662
IDX00071,719
IDX00072,745
IDX00073,670
IDX00074,1228
IDX00075,13
IDX00076,151
IDX00077,27
IDX00078,25
IDX00079,148
IDX00080,12
IDX00081,2
IDX00082,1028
IDX00083,1228
IDX00084,884
IDX00085,8
IDX00086,180
IDX00087,142
IDX00088,24
IDX00089,11
IDX00090,6
IDX00091,2
IDX00092,217
IDX00093,25
IDX00094,13
IDX00095,2
IDX00096,10
IDX00097,9
IDX00098,3
IDX00099,23
IDX00100,104
IDX00101,6
IDX00102,9
IDX00103,39
IDX00104,465
IDX00105,21
IDX00106,94
IDX00107,2
IDX00108,3
IDX00109,96
IDX00110,59
IDX00111,288
IDX00112,101
IDX00113,72
IDX00114,6
IDX00115,235
IDX00116,16
IDX00117,13
IDX00118,3
IDX00119,5
IDX00120,97
IDX00121,2
IDX00122,72
IDX00123,239
IDX00124,50
IDX00125,468
IDX00126,713
IDX00127,242
IDX00128,288
IDX00129,637
IDX00130,2
IDX00131,1138
IDX00132,29
IDX00133,158
IDX00134,698
IDX00135,95
IDX00136,8
IDX00137,107
IDX00138,779
IDX00139,698
IDX00140,160
IDX00141,107
IDX00142,11
IDX00143,98
IDX00144,8
IDX00145,137
IDX00146,26
IDX00147,85
IDX00148,39
IDX00149,83
IDX00150,38
IDX00151,9
IDX00152,1228
IDX00153,1228
IDX00154,1228
IDX00155,1228
IDX00156,1228
IDX00157,391
IDX00158,935
IDX00159,94
IDX00160,6
IDX00161,37
IDX00162,143
IDX00163,2
IDX00164,4
IDX00165,797
IDX00166,9
IDX00167,17
IDX00168,13
IDX00169,4
IDX00170,2
IDX00171,5
IDX00172,5
IDX00173,5
IDX00174,204
IDX00175,1228
IDX00176,668
IDX00177,3
IDX00178,11
IDX00179,31
IDX00180,7
IDX00181,7
IDX00182,18
IDX00183,7
IDX00184,123
IDX00185,1148
IDX00186,424
IDX00187,8
IDX00188,13
IDX00189,21
IDX00190,26
IDX00191,8
IDX00192,10
IDX00193,18
IDX00194,16
IDX00195,32
IDX00196,19
IDX00197,62
IDX00198,216
IDX00199,942
IDX00200,61
IDX00201,79
IDX00202,9
IDX00203,11
IDX00204,37
IDX00205,85
IDX00206,102
IDX00207,86
IDX00208,1093
