submit_id,hold_d
IDX00001,243.0
IDX00002,481.0
IDX00003,221.0
IDX00004,375.0
IDX00005,15.0
IDX00006,148.0
IDX00007,160.0
IDX00008,840.0
IDX00009,129.0
IDX00010,656.0
IDX00011,193.0
IDX00012,1228.0
IDX00013,613.0
IDX00014,10.0
IDX00015,18.0
IDX00016,5.0
IDX00017,180.0
IDX00018,112.0
IDX00019,426.0
IDX00020,14.0
IDX00021,10.0
IDX00022,1228.0
IDX00023,565.0
IDX00024,26.0
IDX00025,4.0
IDX00026,107.0
IDX00027,107.0
IDX00028,375.0
IDX00029,612.0
IDX00030,426.0
IDX00031,110.0
IDX00032,110.0
IDX00033,857.0
IDX00034,209.0
IDX00035,20.0
IDX00036,123.0
IDX00037,209.0
IDX00038,1228.0
IDX00039,209.0
IDX00040,1055.0
IDX00041,1228.0
IDX00042,581.0
IDX00043,1133.0
IDX00044,1228.0
IDX00045,1097.0
IDX00046,753.0
IDX00047,1083.0
IDX00048,1228.0
IDX00049,1228.0
IDX00050,1228.0
IDX00051,1228.0
IDX00052,1097.0
IDX00053,223.0
IDX00054,792.0
IDX00055,815.0
IDX00056,230.0
IDX00057,209.0
IDX00058,775.0
IDX00059,776.0
IDX00060,868.0
IDX00061,118.0
IDX00062,820.0
IDX00063,804.0
IDX00064,885.0
IDX00065,718.0
IDX00066,813.0
IDX00067,808.0
IDX00068,116.0
IDX00069,193.0
IDX00070,807.0
IDX00071,864.0
IDX00072,890.0
IDX00073,815.0
IDX00074,1228.0
IDX00075,20.0
IDX00076,240.0
IDX00077,42.0
IDX00078,39.0
IDX00079,235.0
IDX00080,18.0
IDX00081,2.0
IDX00082,1028.0
IDX00083,1228.0
IDX00084,884.0
IDX00085,12.0
IDX00086,284.0
IDX00087,225.0
IDX00088,37.0
IDX00089,17.0
IDX00090,8.0
IDX00091,2.0
IDX00092,343.0
IDX00093,39.0
IDX00094,20.0
IDX00095,2.0
IDX00096,15.0
IDX00097,13.0
IDX00098,4.0
IDX00099,36.0
IDX00100,164.0
IDX00101,8.0
IDX00102,13.0
IDX00103,61.0
IDX00104,610.0
IDX00105,32.0
IDX00106,148.0
IDX00107,2.0
IDX00108,4.0
IDX00109,151.0
IDX00110,93.0
IDX00111,433.0
IDX00112,160.0
IDX00113,113.0
IDX00114,8.0
IDX00115,372.0
IDX00116,24.0
IDX00117,20.0
IDX00118,4.0
IDX00119,7.0
IDX00120,153.0
IDX00121,2.0
IDX00122,113.0
IDX00123,379.0
IDX00124,79.0
IDX00125,613.0
IDX00126,854.0
IDX00127,383.0
IDX00128,433.0
IDX00129,782.0
IDX00130,2.0
IDX00131,1138.0
IDX00132,45.0
IDX00133,249.0
IDX00134,809.0
IDX00135,151.0
IDX00136,12.0
IDX00137,169.0
IDX00138,813.0
IDX00139,831.0
IDX00140,253.0
IDX00141,169.0
IDX00142,17.0
IDX00143,154.0
IDX00144,12.0
IDX00145,217.0
IDX00146,40.0
IDX00147,134.0
IDX00148,61.0
IDX00149,131.0
IDX00150,59.0
IDX00151,13.0
IDX00152,1228.0
IDX00153,1228.0
IDX00154,1228.0
IDX00155,1228.0
IDX00156,1228.0
IDX00157,536.0
IDX00158,935.0
IDX00159,148.0
IDX00160,8.0
IDX00161,58.0
IDX00162,226.0
IDX00163,2.0
IDX00164,5.0
IDX00165,797.0
IDX00166,13.0
IDX00167,26.0
IDX00168,20.0
IDX00169,5.0
IDX00170,2.0
IDX00171,7.0
IDX00172,7.0
IDX00173,7.0
IDX00174,322.0
IDX00175,1228.0
IDX00176,813.0
IDX00177,4.0
IDX00178,17.0
IDX00179,49.0
IDX00180,10.0
IDX00181,10.0
IDX00182,27.0
IDX00183,10.0
IDX00184,194.0
IDX00185,1148.0
IDX00186,569.0
IDX00187,12.0
IDX00188,20.0
IDX00189,32.0
IDX00190,41.0
IDX00191,12.0
IDX00192,15.0
IDX00193,27.0
IDX00194,24.0
IDX00195,50.0
IDX00196,29.0
IDX00197,97.0
IDX00198,343.0
IDX00199,942.0
IDX00200,95.0
IDX00201,124.0
IDX00202,14.0
IDX00203,17.0
IDX00204,58.0
IDX00205,134.0
IDX00206,161.0
IDX00207,136.0
IDX00208,1093.0
IDX00209,95.0
IDX00210,75.0
IDX00211,136.0
IDX00212,185.0
IDX00213,50.0
IDX00214,66.0
IDX00215,126.0
IDX00216,120.0
IDX00217,88.0
IDX00218,134.0
IDX00219,94.0
IDX00220,8.0
IDX00221,743.0
IDX00222,90.0
IDX00223,2.0
IDX00224,31.0
IDX00225,58.0
IDX00226,5.0
IDX00227,5.0
IDX00228,759.0
IDX00229,170.0
IDX00230,379.0
IDX00231,45.0
IDX00232,803.0
IDX00233,284.0
IDX00234,91.0
IDX00235,128.0
IDX00236,568.0
IDX00237,34.0
IDX00238,142.0
IDX00239,128.0
IDX00240,120.0
IDX00241,575.0
IDX00242,602.0
IDX00243,230.0
IDX00244,94.0
IDX00245,200.0
IDX00246,99.0
IDX00247,161.0
IDX00248,91.0
IDX00249,72.0
IDX00250,58.0
IDX00251,196.0
IDX00252,58.0
IDX00253,31.0
IDX00254,12.0
IDX00255,5.0
IDX00256,146.0
IDX00257,20.0
IDX00258,15.0
IDX00259,818.0
IDX00260,537.0
IDX00261,230.0
IDX00262,10.0
IDX00263,1228.0
IDX00264,196.0
IDX00265,14.0
IDX00266,1107.0
IDX00267,88.0
IDX00268,20.0
IDX00269,112.0
IDX00270,123.0
IDX00271,807.0
IDX00272,1228.0
IDX00273,1182.0
IDX00274,894.0
IDX00275,806.0
IDX00276,891.0
IDX00277,1158.0
IDX00278,699.0
IDX00279,807.0
IDX00280,1191.0
IDX00281,1193.0
IDX00282,1228.0
IDX00283,17.0
IDX00284,26.0
IDX00285,4.0
IDX00286,15.0
IDX00287,24.0
IDX00288,375.0
IDX00289,10.0
IDX00290,51.0
IDX00291,12.0
IDX00292,39.0
IDX00293,32.0
IDX00294,2.0
IDX00295,18.0
IDX00296,31.0
IDX00297,24.0
IDX00298,7.0
IDX00299,716.0
IDX00300,56.0
IDX00301,7.0
IDX00302,8.0
IDX00303,2.0
IDX00304,59.0
IDX00305,36.0
IDX00306,104.0
IDX00307,50.0
IDX00308,44.0
IDX00309,59.0
IDX00310,36.0
IDX00311,2.0
IDX00312,120.0
IDX00313,58.0
IDX00314,215.0
IDX00315,44.0
IDX00316,423.0
IDX00317,200.0
IDX00318,200.0
IDX00319,217.0
IDX00320,327.0
IDX00321,33.0
IDX00322,212.0
IDX00323,197.0
IDX00324,10.0
IDX00325,9.0
IDX00326,26.0
IDX00327,67.0
IDX00328,335.0
IDX00329,197.0
IDX00330,50.0
IDX00331,166.0
IDX00332,300.0
IDX00333,9.0
IDX00334,175.0
IDX00335,58.0
IDX00336,42.0
IDX00337,116.0
IDX00338,156.0
IDX00339,230.0
IDX00340,175.0
IDX00341,184.0
IDX00342,163.0
IDX00343,217.0
IDX00344,115.0
IDX00345,55.0
IDX00346,56.0
IDX00347,29.0
IDX00348,215.0
IDX00349,160.0
IDX00350,379.0
IDX00351,44.0
IDX00352,34.0
IDX00353,169.0
IDX00354,34.0
IDX00355,83.0
IDX00356,171.0
IDX00357,36.0
IDX00358,26.0
IDX00359,36.0
IDX00360,51.0
IDX00361,213.0
IDX00362,215.0
IDX00363,55.0
IDX00364,241.0
IDX00365,156.0
IDX00366,182.0
IDX00367,230.0
IDX00368,147.0
IDX00369,156.0
IDX00370,197.0
IDX00371,136.0
IDX00372,47.0
IDX00373,136.0
IDX00374,327.0
IDX00375,104.0
IDX00376,438.0
IDX00377,136.0
IDX00378,230.0
IDX00379,177.0
IDX00380,197.0
IDX00381,114.0
IDX00382,163.0
IDX00383,163.0
IDX00384,104.0
IDX00385,215.0
IDX00386,17.0
IDX00387,217.0
IDX00388,80.0
IDX00389,44.0
IDX00390,147.0
IDX00391,175.0
IDX00392,197.0
IDX00393,139.0
IDX00394,136.0
IDX00395,36.0
IDX00396,215.0
IDX00397,212.0
IDX00398,44.0
IDX00399,42.0
IDX00400,115.0
IDX00401,330.0
IDX00402,215.0
IDX00403,126.0
IDX00404,44.0
IDX00405,382.0
IDX00406,20.0
IDX00407,56.0
IDX00408,10.0
IDX00409,345.0
IDX00410,123.0
IDX00411,124.0
IDX00412,532.0
IDX00413,204.0
IDX00414,718.0
IDX00415,820.0
IDX00416,261.0
IDX00417,116.0
IDX00418,717.0
IDX00419,21.0
IDX00420,806.0
IDX00421,14.0
IDX00422,486.0
IDX00423,114.0
IDX00424,126.0
IDX00425,272.0
IDX00426,833.0
IDX00427,17.0
IDX00428,877.0
IDX00429,124.0
IDX00430,118.0
IDX00431,39.0
IDX00432,258.0
IDX00433,110.0
IDX00434,4.0
IDX00435,21.0
IDX00436,123.0
IDX00437,118.0
IDX00438,811.0
IDX00439,109.0
IDX00440,157.0
IDX00441,630.0
IDX00442,160.0
IDX00443,365.0
IDX00444,163.0
IDX00445,160.0
IDX00446,629.0
IDX00447,1078.0
IDX00448,1228.0
IDX00449,1228.0
IDX00450,1228.0
IDX00451,133.0
IDX00452,896.0
IDX00453,751.0
IDX00454,7.0
IDX00455,223.0
IDX00456,71.0
IDX00457,12.0
IDX00458,56.0
IDX00459,114.0
IDX00460,105.0
IDX00461,13.0
IDX00462,591.0
IDX00463,437.0
IDX00464,10.0
IDX00465,2.0
IDX00466,8.0
IDX00467,230.0
IDX00468,180.0
IDX00469,203.0
IDX00470,7.0
IDX00471,243.0
IDX00472,114.0
IDX00473,245.0
IDX00474,21.0
IDX00475,123.0
IDX00476,198.0
IDX00477,91.0
IDX00478,14.0
IDX00479,128.0
IDX00480,105.0
IDX00481,205.0
IDX00482,112.0
IDX00483,205.0
IDX00484,262.0
IDX00485,151.0
IDX00486,203.0
IDX00487,270.0
IDX00488,148.0
IDX00489,53.0
IDX00490,1228.0
IDX00491,123.0
IDX00492,245.0
IDX00493,27.0
IDX00494,209.0
IDX00495,261.0
IDX00496,1228.0
IDX00497,304.0
IDX00498,2.0
IDX00499,7.0
IDX00500,7.0
IDX00501,7.0
IDX00502,128.0
IDX00503,27.0
IDX00504,5.0
IDX00505,15.0
IDX00506,1228.0
IDX00507,1228.0
IDX00508,72.0
IDX00509,1228.0
IDX00510,40.0
IDX00511,26.0
IDX00512,123.0
IDX00513,182.0
IDX00514,24.0
IDX00515,104.0
IDX00516,58.0
IDX00517,42.0
IDX00518,43.0
IDX00519,17.0
IDX00520,118.0
IDX00521,59.0
IDX00522,47.0
IDX00523,55.0
IDX00524,63.0
IDX00525,23.0
IDX00526,36.0
IDX00527,77.0
IDX00528,15.0
IDX00529,18.0
IDX00530,7.0
IDX00531,72.0
IDX00532,74.0
IDX00533,95.0
IDX00534,74.0
IDX00535,15.0
IDX00536,40.0
IDX00537,10.0
IDX00538,90.0
IDX00539,87.0
IDX00540,987.0
IDX00541,128.0
IDX00542,12.0
IDX00543,473.0
IDX00544,66.0
IDX00545,18.0
IDX00546,24.0
IDX00547,180.0
IDX00548,53.0
IDX00549,2.0
IDX00550,600.0
IDX00551,15.0
IDX00552,43.0
IDX00553,5.0
IDX00554,27.0
IDX00555,10.0
IDX00556,50.0
IDX00557,236.0
IDX00558,79.0
IDX00559,2.0
IDX00560,85.0
IDX00561,74.0
IDX00562,36.0
IDX00563,5.0
IDX00564,12.0
IDX00565,36.0
IDX00566,811.0
IDX00567,67.0
IDX00568,354.0
IDX00569,258.0
IDX00570,281.0
IDX00571,61.0
IDX00572,293.0
IDX00573,354.0
IDX00574,168.0
IDX00575,354.0
IDX00576,7.0
IDX00577,116.0
IDX00578,2.0
IDX00579,2.0
IDX00580,5.0
IDX00581,7.0
