submit_id,hold_d
IDX00001,299.0
IDX00002,481.0
IDX00003,285.0
IDX00004,382.0
IDX00005,155.0
IDX00006,239.0
IDX00007,246.0
IDX00008,866.0
IDX00009,227.0
IDX00010,656.0
IDX00011,267.0
IDX00012,1373.0
IDX00013,613.0
IDX00014,152.0
IDX00015,157.0
IDX00016,149.0
IDX00017,258.0
IDX00018,216.0
IDX00019,426.0
IDX00020,154.0
IDX00021,152.0
IDX00022,1373.0
IDX00023,565.0
IDX00024,162.0
IDX00025,2.6888449844993705
IDX00026,213.0
IDX00027,213.0
IDX00028,382.0
IDX00029,612.0
IDX00030,426.0
IDX00031,215.0
IDX00032,215.0
IDX00033,1002.0
IDX00034,277.0
IDX00035,158.0
IDX00036,223.0
IDX00037,277.0
IDX00038,1373.0
IDX00039,277.0
IDX00040,1200.0
IDX00041,1373.0
IDX00042,581.0
IDX00043,1278.0
IDX00044,1373.0
IDX00045,1242.0
IDX00046,753.0
IDX00047,1228.0
IDX00048,1373.0
IDX00049,1373.0
IDX00050,1373.0
IDX00051,1373.0
IDX00052,1242.0
IDX00053,286.0
IDX00054,792.0
IDX00055,815.0
IDX00056,291.0
IDX00057,277.0
IDX00058,775.0
IDX00059,776.0
IDX00060,868.0
IDX00061,220.0
IDX00062,820.0
IDX00063,804.0
IDX00064,885.0
IDX00065,718.0
IDX00066,813.0
IDX00067,808.0
IDX00068,219.0
IDX00069,267.0
IDX00070,807.0
IDX00071,864.0
IDX00072,890.0
IDX00073,815.0
IDX00074,1373.0
IDX00075,158.0
IDX00076,296.0
IDX00077,172.0
IDX00078,170.0
IDX00079,293.0
IDX00080,157.0
IDX00081,1.726346536149547
IDX00082,1173.0
IDX00083,1373.0
IDX00084,1029.0
IDX00085,153.0
IDX00086,325.0
IDX00087,287.0
IDX00088,169.0
IDX00089,156.0
IDX00090,151.0
IDX00091,1.7998405888131384
IDX00092,362.0
IDX00093,170.0
IDX00094,158.0
IDX00095,1.755890787727492
IDX00096,155.0
IDX00097,154.0
IDX00098,2.6039862563094593
IDX00099,168.0
IDX00100,249.0
IDX00101,151.0
IDX00102,154.0
IDX00103,184.0
IDX00104,610.0
IDX00105,166.0
IDX00106,239.0
IDX00107,1.7244151959163032
IDX00108,2.4058271283114405
IDX00109,241.0
IDX00110,204.0
IDX00111,433.0
IDX00112,246.0
IDX00113,217.0
IDX00114,151.0
IDX00115,380.0
IDX00116,161.0
IDX00117,158.0
IDX00118,2.4759661737836054
IDX00119,150.0
IDX00120,242.0
IDX00121,1.7303788612305002
IDX00122,217.0
IDX00123,384.0
IDX00124,195.0
IDX00125,613.0
IDX00126,858.0
IDX00127,387.0
IDX00128,433.0
IDX00129,782.0
IDX00130,1.5963846504284565
IDX00131,1283.0
IDX00132,174.0
IDX00133,303.0
IDX00134,843.0
IDX00135,240.0
IDX00136,153.0
IDX00137,252.0
IDX00138,924.0
IDX00139,843.0
IDX00140,305.0
IDX00141,252.0
IDX00142,156.0
IDX00143,243.0
IDX00144,153.0
IDX00145,282.0
IDX00146,171.0
IDX00147,230.0
IDX00148,184.0
IDX00149,228.0
IDX00150,183.0
IDX00151,154.0
IDX00152,1373.0
IDX00153,1373.0
IDX00154,1373.0
IDX00155,1373.0
IDX00156,1373.0
IDX00157,536.0
IDX00158,1080.0
IDX00159,239.0
IDX00160,151.0
IDX00161,182.0
IDX00162,288.0
IDX00163,1.7454976631138792
IDX00164,149.0
IDX00165,942.0
IDX00166,154.0
IDX00167,162.0
IDX00168,158.0
IDX00169,149.0
IDX00170,1.7697324303654907
IDX00171,150.0
IDX00172,150.0
IDX00173,150.0
IDX00174,349.0
IDX00175,1373.0
IDX00176,813.0
IDX00177,148.0
IDX00178,156.0
IDX00179,176.0
IDX00180,152.0
IDX00181,152.0
IDX00182,163.0
IDX00183,152.0
IDX00184,268.0
IDX00185,1293.0
IDX00186,569.0
IDX00187,153.0
IDX00188,158.0
IDX00189,166.0
IDX00190,171.0
IDX00191,153.0
IDX00192,155.0
IDX00193,163.0
IDX00194,161.0
IDX00195,177.0
IDX00196,164.0
IDX00197,207.0
IDX00198,361.0
IDX00199,1087.0
IDX00200,206.0
IDX00201,224.0
IDX00202,154.0
IDX00203,156.0
IDX00204,182.0
IDX00205,230.0
IDX00206,247.0
IDX00207,231.0
IDX00208,1238.0
IDX00209,206.0
IDX00210,193.0
IDX00211,231.0
IDX00212,262.0
