종목코드,종목명,종가,대비,등락률,순자산가치(NAV),시가,고가,저가,거래량,거래대금,시가총액,순자산총액,상장좌수,기초지수_지수명,기초지수_종가,기초지수_대비,기초지수_등락률
"152100","ARIRANG 200","39820","940","2.42","39802.13","38735","39830","38640","767247","30206764355","784454000000","784101952847","19700000","코스피 200","389.29","8.02","2.10"
"295820","ARIRANG 200동일가중","10115","160","1.61","10093.06","9955","10115","9955","131","1317780","6069000000","6055834611","600000","코스피 200 동일가중지수","2180.36","31.12","1.45"
"253150","ARIRANG 200선물레버리지","42520","1880","4.63","42472.56","40335","42610","40205","9613","400520430","14882000000","12741769084","350000","코스피 200 선물지수","1945.71","41.00","2.15"
"253160","ARIRANG 200선물인버스2X","5020","-250","-4.74","5035.35","5330","5330","5010","223324","1146589045","17570000000","17371971359","3500000","코스피 200 선물지수","1945.71","41.00","2.15"
"278420","ARIRANG ESG우수기업","8650","95","1.11","8637.54","8560","8650","8535","357","3065080","5622500000","5614402086","650000","WISE ESG우수기업 지수","1167.06","8.58","0.74"
"292750","ARIRANG KRX300","18430","500","2.79","18419.96","18000","18435","18000","116","2117620","16587000000","16577966696","900000","KRX 300","1794.81","33.73","1.92"
"309170","ARIRANG KRX300IT","18460","590","3.30","18422.87","17970","18460","17850","4085","73570085","9230000000","9211433035","500000","KRX300 정보기술","2762.79","68.58","2.55"
"309210","ARIRANG KRX300헬스케어","16785","5","0.03","16884.00","16860","16870","16580","3283","54903910","8728200000","8779681927","520000","KRX300 헬스케어","4704.97","0.66","0.01"
"333940","ARIRANG KS로우볼가중TR","12900","305","2.42","12882.85","12645","12900","12630","1290","16604095","7740000000","7729709535","600000","FnGuide KS 로우볼 가중 TR 지수","2259.12","35.18","1.58"
"333950","ARIRANG KS로우사이즈가중TR","15300","440","2.96","15283.30","14960","15300","14940","6538","99491920","7650000000","7641650064","500000","FnGuide KS 로우사이즈 가중 TR 지수","2450.54","50.22","2.09"
"333960","ARIRANG KS모멘텀가중TR","15365","485","3.26","15345.08","14965","15365","14950","6254","95503050","13060250000","13043321898","850000","FnGuide KS 모멘텀 가중 TR 지수","2193.98","49.37","2.30"
"333970","ARIRANG KS밸류가중TR","14330","365","2.61","14309.33","14005","14330","13990","10690","151922905","10031000000","10016530343","700000","FnGuide KS 밸류 가중 TR 지수","2226.96","40.10","1.83"
"333980","ARIRANG KS퀄리티가중TR","14910","385","2.65","14890.23","14590","14910","14585","1179","17548240","10437000000","10423162821","700000","FnGuide KS 퀄리티 가중 TR 지수","2267.40","38.72","1.74"
"269530","ARIRANG S&P글로벌인프라","10240","5","0.05","10323.37","10240","10240","10235","109","1116045","5120000000","5161683746","500000","S&P Global Infrastructure Index","2543.61","3.77","0.15"
