,종목코드1,종목명,종목코드2,시장구분
0,A208870,하나머스트3호스팩,208870,
1,A194510,파티게임즈,194510,
2,A094190,이엘케이,094190,
3,A005980,성지건설,005980,
4,A229200,KODEX 코스닥 150,229200,
5,A103130,웅진에너지,103130,
6,A261220,KODEX WTI원유선물(H),261220,
7,A005450,신한,005450,
8,A267770,TIGER 200선물레버리지,267770,
9,A252670,KODEX 200선물인버스2X,252670,
10,A251340,KODEX 코스닥150선물인버스,251340,
11,A233740,KODEX 코스닥150 레버리지,233740,
12,A204480,TIGER 차이나CSI300레버리지(합성),204480,
13,A122630,KODEX 레버리지,122630,
14,A114800,KODEX 인버스,114800,
15,A000030,우리은행,000030,
16,A023430,아이이,023430,
17,A130960,CJ E&M,130960,
18,A104120,신성에프에이,104120,
19,A026180,현대정보기술,026180,
20,A026260,위너지스,026260,
21,A117930,한진해운,117930,
22,A035480,글로앤웰,035480,
23,A043580,에임하이글로벌,043580,
24,A003415,쌍용양회우,003415,
25,A017680,데코앤이,017680,
26,A036500,에스에스컴텍,036500,
27,A047440,디케이씨,047440,
28,A068150,케이엔씨글로벌,068150,
29,A086830,신양오라컴,086830,
30,A099830,씨그널엔터테인먼트그룹,099830,
31,A112240,에스에프씨,112240,
32,A134780,화진,134780,
33,A197210,리드,197210,
34,A069500,KODEX 200,069500,
35,A003450,케이비증권,003450,
36,A087220,스틸플라워,087220,
37,A037620,미래에셋증권,037620,
38,A225030,TIGER 미국S&P500선물인버스(H),225030,
39,A004740,보루네오가구,004740,
40,A051170,썬코어,051170,
41,A052290,트레이스,052290,
42,A065160,라임,065160,
43,A149940,모다,149940,
44,A068870,LG생명과학,068870,
45,A057500,SKC 솔믹스,057500,
46,A305540,TIGER 2차전지테마,305540,
47,A194610,우성아이비,194610,
48,A123100,원익테라세미콘,123100,
49,A065270,플렉스컴,065270,
50,A030270,에스마크,030270,
51,A204990,코썬바이오,204990,
52,A090730,SIMPAC Metal,090730,
53,A152330,코리아오토글라스,152330,
54,A024660,하림홀딩스,024660,
