종목코드,종목명,시장구분,소속부,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"060310","3S","KOSDAQ","중견기업부","2165","20","0.93","2145","2175","2120","279070","598993665","96997436315","44802511"
"095570","AJ네트웍스","KOSPI",,"4615","-45","-0.97","4660","4695","4600","120954","560421850","216084891425","46822295"
"006840","AK홀딩스","KOSPI",,"25150","50","0.20","25300","25350","25000","89368","2252587900","333176159150","13247561"
"054620","APS홀딩스","KOSDAQ","중견기업부","8210","220","2.75","7990","8310","7940","260239","2121335600","167436554410","20394221"
"265520","AP시스템","KOSDAQ","우량기업부","24850","300","1.22","24700","25000","24400","295589","7322854150","359833640950","14480227"
"211270","AP위성","KOSDAQ","벤처기업부","7920","0","0.00","7920","7970","7780","50348","397103140","118917247680","15014804"
"027410","BGF","KOSPI",,"4895","-60","-1.21","4925","4930","4835","469185","2291176695","468533691945","95716791"
"282330","BGF리테일","KOSPI",,"135500","2000","1.50","133500","135500","132500","25983","3485099000","2341969263000","17283906"
"138930","BNK금융지주","KOSPI",,"5680","10","0.18","5680","5690","5560","1947256","10955767300","1851312197280","325935246"
"001460","BYC","KOSPI",,"286500","1500","0.53","286000","286500","284000","2027","580409000","178952197500","624615"
"001465","BYC우","KOSPI",,"138500","500","0.36","138500","138500","136500","229","31560500","29830822500","215385"
"001040","CJ","KOSPI",,"92100","1000","1.10","91200","92600","89700","176891","16266522000","2687201515800","29176998"
"079160","CJ CGV","KOSPI",,"25200","950","3.92","24300","25600","24300","1175026","29594540550","884520000000","35100000"
"035760","CJ ENM","KOSDAQ","우량기업부","139500","400","0.29","139200","141100","138600","130855","18245780400","3059116983000","21929154"
"00104K","CJ4우(전환)","KOSPI",,"72400","1700","2.40","70600","72600","70000","14967","1069309200","305999468800","4226512"
"000120","CJ대한통운","KOSPI",,"165500","1500","0.91","164000","166500","163000","70687","11653172000","3775442932000","22812344"
"011150","CJ씨푸드","KOSPI",,"5100","70","1.39","5030","5140","5000","976825","4961198290","183246942300","35930773"
"011155","CJ씨푸드1우","KOSPI",,"41000","1100","2.76","39950","41000","39950","627","25450650","8200000000","200000"
"001045","CJ우","KOSPI",,"56700","1500","2.72","54900","56900","52700","15758","882774100","128154644100","2260223"
"097950","CJ제일제당","KOSPI",,"381000","-2000","-0.52","385000","385000","379000","78987","30126917000","5735644866000","15054186"
"097955","CJ제일제당 우","KOSPI",,"167500","0","0.00","169000","169000","165500","10000","1670335500","222345027500","1327433"
"051500","CJ프레시웨이","KOSDAQ","우량기업부","19050","200","1.06","19000","19050","18850","46939","891161800","226153713300","11871586"
"058820","CMG제약","KOSDAQ","우량기업부","5780","50","0.87","5700","5830","5660","3107599","17900308650","802797170320","138892244"
"023460","CNH","KOSDAQ","벤처기업부","2135","80","3.89","2080","2180","2060","209063","443951940","79422000000","37200000"
"065770","CS","KOSDAQ","벤처기업부","2480","10","0.40","2470","2500","2455","81685","202166830","46711172000","18835150"
"083660","CSA 코스믹","KOSDAQ","관리종목(소속부없음)","2135","35","1.67","2065","2150","2065","84802","180090040","79148816075","37072045"
"000590","CS홀딩스","KOSPI",,"59000","-1100","-1.83","60100","60800","58800","3663","217248300","68114438000","1154482"
"012030","DB","KOSPI",,"796","15","1.92","785","801","763","3124458","2446624760","160134450668","201173933"
"367340","DB금융스팩8호","KOSDAQ","SPAC(소속부없음)","2020","0","0.00","2005","2020","2005","6142","12372365","12221000000","6050000"
"016610","DB금융투자","KOSPI",,"4655","40","0.87","4620","4670","4595","185751","857280355","197587940795","42446389"
"005830","DB손해보험","KOSPI",,"43750","100","0.23","43800","43900","43500","142810","6244023750","3097500000000","70800000"
"000990","DB하이텍","KOSPI",,"51000","1850","3.76","48500","52300","48250","3863565","194826526750","2264327988000","44398588"
"000995","DB하이텍1우","KOSPI",,"118000","2500","2.16","112500","121000","112500","4474","524378500","13253288000","112316"
"139130","DGB금융지주","KOSPI",,"6790","-70","-1.02","6860","6900","6650","1461059","9860977710","1148500206070","169145833"
"001530","DI동일","KOSPI",,"146000","3500","2.46","144000","148000","139500","29378","4237214500","359978914000","2465609"
"068790","DMS","KOSDAQ","우량기업부","8680","110","1.28","8550","8760","8400","327925","2818829720","213294169480","24573061"
"004840","DRB동일","KOSPI",,"6890","20","0.29","6870","6910","6820","44554","305945890","137317700000","19930000"
"241520","DSC인베스트먼트","KOSDAQ","벤처기업부","5940","270","4.76","5720","5970","5700","637928","3733335870","110120644260","18538829"
"155660","DSR","KOSPI",,"6250","60","0.97","6210","6290","6190","107293","668366150","100000000000","16000000"
"069730","DSR제강","KOSPI",,"4885","80","1.66","4805","4925","4780","109772","534032950","70344000000","14400000"
"017940","E1","KOSPI",,"44650","250","0.56","44400","45000","44300","20695","922989050","306299000000","6860000"
"245620","EDGC","KOSDAQ","기술성장기업부","9500","400","4.40","9110","9590","9040","704701","6650350530","407687978000","42914524"
"037370","EG","KOSDAQ","중견기업부","9760","-50","-0.51","9880","9940","9560","76887","747102610","73200000000","7500000"
"079190","EMW","KOSDAQ","관리종목(소속부없음)","2780","0","0.00","0","0","0","0","0","88360067660","31784197"
"365550","ESR켄달스퀘어리츠","KOSPI",,"5070","-10","-0.20","5080","5090","5040","410452","2078386730","726323130000","143259000"
"007700","F&F","KOSPI",,"84400","600","0.72","83800","84500","83600","49924","4188704600","1299760000000","15400000"
"130500","GH신소재","KOSDAQ","중견기업부","8320","-200","-2.35","8520","8520","8240","382378","3190011390","91520000000","11000000"
"114090","GKL","KOSPI",,"16700","350","2.14","16300","16700","16100","318932","5265891550","1032989689000","61855670"
"900290","GRT","KOSDAQ","관리종목(소속부없음)","951","0","0.00","0","0","0","0","0","64073625000","67375000"
"078930","GS","KOSPI",,"37550","250","0.67","37350","37800","37150","247385","9268967200","3488972443900","92915378"
"083450","GST","KOSDAQ","우량기업부","17200","300","1.78","16900","17400","16800","231594","3972803500","160265214000","9317745"
"006360","GS건설","KOSPI",,"37800","2050","5.73","35850","38300","35750","1378490","51644796800","3030762873600","80178912"
"001250","GS글로벌","KOSPI",,"1940","30","1.57","1925","1950","1900","409026","788647050","160115502160","82533764"
"007070","GS리테일","KOSPI",,"34450","100","0.29","34350","34450","34200","208554","7167764000","2652650000000","77000000"
"078935","GS우","KOSPI",,"30400","-300","-0.98","30750","30750","30100","18694","566856150","54258710400","1784826"
"028150","GS홈쇼핑","KOSDAQ","우량기업부","139000","-400","-0.29","139400","139500","138700","26663","3708588900","912187500000","6562500"
"045890","GV","KOSDAQ","투자주의환기종목(소속부없음)","430","0","0.00","0","0","0","0","0","31231247010","72630807"
"078150","HB테크놀러지","KOSDAQ","우량기업부","2225","50","2.30","2190","2240","2165","930495","2064194585","175753697850","78990426"
"012630","HDC","KOSPI",,"11050","250","2.31","10750","11100","10750","468092","5134670050","660146017050","59741721"
"039570","HDC아이콘트롤스","KOSPI",,"10500","50","0.48","10450","10650","10350","82594","866591900","172830000000","16460000"
"089470","HDC현대EP","KOSPI",,"6620","40","0.61","6550","6730","6540","228590","1510947100","211178000000","31900000"
"294870","HDC현대산업개발","KOSPI",,"26100","1150","4.61","25050","26500","25050","1286693","33406833850","1720181313000","65907330"
"011200","HMM","KOSPI",,"13950","200","1.45","13700","14100","13500","6492773","89813508600","4557832205850","326726323"
"036640","HRS","KOSDAQ","중견기업부","5660","160","2.91","5470","5660","5310","519310","2876094780","92568168000","16354800"
"082740","HSD엔진","KOSPI",,"8400","390","4.87","8360","8650","8250","1769783","14916377360","276755992800","32947142"
"335870","IBKS제12호스팩","KOSDAQ","SPAC(소속부없음)","2170","0","0.00","2150","2175","2150","17020","36929185","6770400000","3120000"
"351340","IBKS제13호스팩","KOSDAQ","SPAC(소속부없음)","2095","-5","-0.24","2100","2105","2080","44186","92703725","10831150000","5170000"
"351320","IBKS제14호스팩","KOSDAQ","SPAC(소속부없음)","2130","-5","-0.23","2105","2130","2090","3073","6539825","9222900000","4330000"
"003560","IHQ","KOSPI",,"1610","55","3.54","1565","1650","1550","3567873","5764669245","235439554280","146235748"
"095340","ISC","KOSDAQ","우량기업부","27000","1700","6.72","25450","27250","24850","618764","16375615150","381847716000","14142508"
"099520","ITX-AI","KOSDAQ","벤처기업부","2525","75","3.06","2445","2550","2430","90720","227472455","73986749575","29301683"
