submit_id,hold_d
IDX00001,218.82385
IDX00002,473.36035
IDX00003,199.51471
IDX00004,338.8397
IDX00005,13.467035
IDX00006,133.87492
IDX00007,143.60732
IDX00008,1030.0629
IDX00009,116.22943
IDX00010,729.2568
IDX00011,173.33817
IDX00012,1141.2609
IDX00013,659.84686
IDX00014,9.002666
IDX00015,16.482578
IDX00016,5.020424
IDX00017,160.52348
IDX00018,100.549835
IDX00019,397.29013
IDX00020,11.997303
IDX00021,8.990358
IDX00022,1138.9956
IDX00023,596.274
IDX00024,23.429384
IDX00025,3.3757262
IDX00026,96.19685
IDX00027,96.41549
IDX00028,338.74347
IDX00029,660.8115
IDX00030,398.88388
IDX00031,98.69939
IDX00032,98.18717
IDX00033,1141.268
IDX00034,186.08813
IDX00035,18.0079
IDX00036,111.25111
IDX00037,186.4009
IDX00038,1134.2983
IDX00039,186.48312
IDX00040,1142.281
IDX00041,1142.8257
IDX00042,617.3838
IDX00043,1144.385
IDX00044,1143.2758
IDX00045,1142.3251
IDX00046,884.5016
IDX00047,1141.621
IDX00048,1142.0913
IDX00049,1141.0795
IDX00050,1141.402
IDX00051,1143.6813
IDX00052,1142.962
IDX00053,199.6419
IDX00054,908.2154
IDX00055,954.60785
IDX00056,207.14629
IDX00057,186.36855
IDX00058,888.89105
IDX00059,889.9449
IDX00060,1029.7719
IDX00061,106.44438
IDX00062,956.6121
IDX00063,954.699
IDX00064,1055.3955
IDX00065,826.6807
IDX00066,955.4799
IDX00067,955.6177
IDX00068,105.08168
IDX00069,173.06099
IDX00070,955.7536
IDX00071,1030.2861
IDX00072,1055.6414
IDX00073,954.853
IDX00074,1140.3446
IDX00075,17.788212
IDX00076,216.65656
IDX00077,38.05283
IDX00078,34.87412
IDX00079,213.83652
IDX00080,16.490194
IDX00081,1.9998574
IDX00082,1140.8987
IDX00083,1141.6967
IDX00084,1143.6736
IDX00085,10.441469
IDX00086,255.46844
IDX00087,203.32281
IDX00088,33.421776
IDX00089,15.003304
IDX00090,8.003243
IDX00091,1.998059
IDX00092,309.09033
IDX00093,34.94454
IDX00094,18.023806
IDX00095,2.0001824
IDX00096,13.482333
IDX00097,11.998087
IDX00098,3.4533348
IDX00099,32.021637
IDX00100,146.65294
IDX00101,7.988982
IDX00102,11.990611
IDX00103,55.030495
IDX00104,658.9595
IDX00105,29.015884
IDX00106,133.73402
IDX00107,1.9984827
IDX00108,3.4039316
IDX00109,136.78453
IDX00110,83.995705
IDX00111,412.68686
IDX00112,143.66139
IDX00113,100.78161
IDX00114,8.041498
IDX00115,333.39218
IDX00116,22.044472
IDX00117,18.007353
IDX00118,3.4091144
IDX00119,6.4321594
IDX00120,137.30429
IDX00121,1.9981925
IDX00122,100.797966
IDX00123,338.00473
IDX00124,70.183815
IDX00125,658.2644
IDX00126,1025.3881
IDX00127,344.24985
IDX00128,412.2399
IDX00129,884.4332
IDX00130,2.009148
IDX00131,1142.6451
IDX00132,40.47823
IDX00133,223.74289
IDX00134,977.2652
IDX00135,133.73756
IDX00136,10.4607
IDX00137,152.85957
IDX00138,1120.6685
IDX00139,984.1807
IDX00140,229.51836
IDX00141,152.88951
IDX00142,15.001419
IDX00143,137.37164
IDX00144,10.481138
IDX00145,191.95609
IDX00146,36.533195
IDX00147,120.05322
IDX00148,54.86621
IDX00149,118.71619
IDX00150,53.540295
IDX00151,12.024989
IDX00152,1137.9503
IDX00153,1138.2533
IDX00154,1140.577
IDX00155,1138.9794
IDX00156,1143.0455
IDX00157,557.6051
IDX00158,1143.8876
IDX00159,133.72484
IDX00160,7.9859076
IDX00161,51.91954
IDX00162,202.85959
IDX00163,1.9997544
IDX00164,4.990854
IDX00165,1130.2666
IDX00166,11.973027
IDX00167,23.468544
IDX00168,17.987473
IDX00169,5.004801
IDX00170,2.000522
IDX00171,6.4370036
IDX00172,6.435894
IDX00173,6.454918
IDX00174,289.06348
IDX00175,1140.4675
IDX00176,953.9514
IDX00177,3.3459592
IDX00178,14.998352
IDX00179,43.458023
IDX00180,8.99816
IDX00181,8.984789
IDX00182,25.007326
IDX00183,9.045903
IDX00184,173.83025
IDX00185,1153.5385
IDX00186,607.1003
IDX00187,10.429727
IDX00188,18.030428
IDX00189,29.021603
IDX00190,36.467197
IDX00191,10.446935
IDX00192,13.510024
IDX00193,25.007406
IDX00194,22.108095
IDX00195,45.08712
IDX00196,26.677462
IDX00197,87.2258
IDX00198,310.7049
IDX00199,1148.9042
IDX00200,86.64548
IDX00201,111.90785
IDX00202,11.996296
IDX00203,15.001812
IDX00204,51.96185
IDX00205,119.91223
IDX00206,144.98561
IDX00207,123.09286
IDX00208,1150.4877
IDX00209,86.68686
IDX00210,67.5982
