,종목코드
0,060310
1,095570
2,068400
3,006840
4,054620
5,027410
6,138930
7,001460
8,001465
9,032040
10,001040
11,079160
12,130960
13,000120
14,011150
15,011155
16,035760
17,001045
18,097950
19,097955
20,051500
21,037560
22,058820
23,023460
24,065770
25,083660
26,000590
27,139130
28,068790
29,004840
30,155660
31,069730
32,017940
33,037370
34,079190
35,007700
36,114090
37,078930
38,083450
39,006360
40,001250
41,007070
42,078935
43,028150
44,078150
45,001500
46,036640
47,204840
48,225430
49,003560
50,095340
51,099520
52,175330
53,067290
54,001060
55,001067
56,001065
57,096760
58,035900
59,105560
60,002550
61,024120
62,002380
63,021320
64,036670
65,009070
66,009440
67,119650
68,044180
69,092220
70,151860
71,109070
72,046440
73,035600
74,001390
75,060720
76,001940
77,083470
78,122450
79,058400
80,083420
81,114450
82,025000
83,092230
84,000040
85,044450
86,030200
87,033780
88,030210
89,036030
90,058850
91,043610
92,060370
93,093050
94,003550
95,034220
96,001120
97,068870
98,068875
99,051900
100,051905
101,003555
102,032640
103,011070
104,066570
105,066575
106,108670
107,108675
108,051910
109,051915
110,079550
111,079950
112,006260
113,000680
114,010120
115,159910
116,086960
117,023150
118,065150
119,035420
120,160550
121,181710
122,005940
123,005945
124,034310
125,030190
126,008260
127,004250
128,004255
129,010060
130,036490
131,024940
132,005490
133,091340
134,100840
135,064960
136,003570
137,036530
138,010950
139,010955
140,950110
141,019550
142,034120
143,101060
144,046140
145,099220
146,040610
147,049470
148,184230
149,004060
150,001380
151,052300
152,002360
153,009160
154,090730
155,123700
156,025530
157,034730
158,207930
159,219550
160,011790
161,057500
162,178920
163,018670
164,001740
165,001745
166,03473K
167,096770
168,096775
169,001510
170,001515
171,066270
172,006120
173,006125
174,017670
175,000660
176,048550
177,036540
178,011810
179,077970
180,071970
181,194860
182,002710
183,032540
184,048770
185,024070
186,057030
187,037270
188,040300
189,051390
190,052220
191,079940
192,078890
193,000500
194,030270
195,192410
196,024840
197,217730
198,035250
199,011420
200,094480
201,000860
202,063080
203,039240
204,008020
205,053950
206,002100
207,012320
208,009450
209,011040
210,000050
211,214390
212,139050
213,012610
214,009140
215,024910
216,013580
217,012200
218,012205
219,004200
220,089890
221,002140
222,049720
223,010130
224,002240
225,014570
226,009810
227,098460
228,206660
229,219580
230,227950
231,001290
232,215000
233,121440
234,076340
235,009290
236,014200
237,017040
238,017900
239,037710
240,192530
241,026910
242,090150
243,140910
244,222810
245,223040
246,030610
247,223220
248,053270
249,007690
250,005320
251,001140
252,066620
253,043650
254,006050
255,060480
256,078130
257,002720
258,019010
259,186230
260,014530
261,135160
262,900070
263,014280
264,014285
265,053260
266,008870
267,058370
268,001570
269,165270
270,002990
271,002995
272,011780
273,011785
274,214330
275,130500
276,001210
277,073240
278,036190
279,049080
280,035460
281,092440
282,000270
283,024110
284,013700
285,004540
286,004545
287,187790
288,214610
289,151910
290,121600
291,039860
292,091970
293,051490
294,007460
295,190510
296,089600
297,232680
298,138610
299,130580
300,036800
301,192240
302,001260
303,008350
304,008355
305,004270
306,003920
307,003925
308,002070
309,025860
310,091590
311,168330
312,072770
313,212560
314,095660
315,042420
316,037340
317,085910
318,092730
319,101400
320,153460
321,007390
322,086220
323,033640
324,087730
325,005720
326,005725
327,002350
328,002355
329,073070
330,110570
331,089140
332,065170
333,139670
334,137940
335,092600
336,041140
337,090350
338,090355
339,000320
340,000327
341,000325
342,229500
343,006280
344,031390
345,142280
346,005250
347,005255
348,005257
349,004370
350,072710
351,054050
352,040160
353,069140
354,126870
355,060260
356,012340
357,222040
358,900100
359,085670
360,053290
361,063840
362,119860
363,064260
364,204690
365,093640
366,039560
367,023590
368,032190
369,020120
370,068240
371,015590
372,019680
373,019685
374,006370
375,004130
376,004135
377,008060
378,012860
379,178600
380,000490
381,020400
382,008830
383,048470
384,008110
385,004780
386,005750
387,000210
388,000215
389,017650
390,006570
391,007720
392,078140
393,001680
394,001689
395,001685
396,084690
397,084695
398,036480
399,128820
400,117580
401,025440
402,027830
403,104040
404,005620
405,016710
406,217270
407,232140
408,020180
409,003540
410,003547
411,003545
412,045390
413,009190
414,108380
415,006580
416,014160
417,215480
418,047040
419,009320
420,204440
421,215580
422,047050
423,042660
424,006800
425,006805
426,003090
427,069620
428,000430
429,048910
430,005710
431,006340
432,006345
433,003220
434,024890
435,000300
436,002880
437,120240
438,003310
439,114920
440,078600
441,065690
442,012800
443,015230
444,096350
445,140520
446,131220
447,010170
448,054670
449,001070
450,023910
451,006650
452,001440
453,084010
454,001790
455,001799
456,001795
457,001130
458,003490
459,003495
460,005880
461,003830
462,016090
463,069460
464,021040
465,021045
466,067080
467,192080
468,012510
469,213420
470,077360
471,004830
472,004835
473,090410
474,024900
475,194480
476,199150
477,183410
478,017680
479,206560
480,008000
481,067990
482,002150
483,100130
484,005160
485,001620
486,075970
487,001230
488,086450
489,023450
490,004140
491,099410
492,007590
493,012030
494,005960
495,005965
496,045890
497,226440
498,230490
499,016380
500,016385
501,016610
502,000990
503,000995
504,005830
505,083350
506,083360
507,083370
508,083380
509,083390
510,026960
511,002210
512,102260
513,033500
514,005190
515,025950
516,000640
517,058730
518,170900
519,088130
520,008040
521,028100
522,007340
523,041930
524,001520
525,001527
526,001529
527,084670
528,030790
529,002900
530,082640
531,038500
532,060380
